State,Year,ID,Name,Poverty Universe,Number in Poverty,Percent in Poverty
Michigan,2012,26121,Muskegon County,165057,"35,416",21.5
Michigan,2013,26121,Muskegon County,165749,"33,828",20.4
Michigan,2014,26121,Muskegon County,165879,"33,197",20
Michigan,2015,26121,Muskegon County,166314,"26,695",16.1
Michigan,2016,26121,Muskegon County,167078,"31,393",18.8
Michigan,2017,26121,Muskegon County,167263,"25,478",15.2
Michigan,2018,26121,Muskegon County,168144,"26,321",15.7
Michigan,2019,26121,Muskegon County,168945,"22,745",13.5
Michigan,2020,26121,Muskegon County,169433,"20,887",12.3
Michigan,2021,26121,Muskegon County,172120,"24,759",14.4
Michigan,2022,26121,Muskegon County,170827,"24,813",14.5
