"County","Total","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent"
"Michigan","10,050,511","8,059,345","80.2","1,517,375","15.1","97,931","1.0","375,860","3.7","561,286","5.6"
"Alcona","10,209","9,867","96.7","137","1.3","116","1.1","89","0.9","186","1.8"
"Alger","8,797","7,495","85.2","744","8.5","495","5.6","63","0.7","168","1.9"
"Allegan","120,950","115,882","95.8","2,626","2.2","1,112","0.9","1,330","1.1","9,500","7.9"
"Alpena","28,885","28,049","97.1","330","1.1","274","0.9","232","0.8","464","1.6"
"Antrim","23,811","23,026","96.7","225","0.9","400","1.7","160","0.7","566","2.4"
"Arenac","14,963","14,379","96.1","201","1.3","281","1.9","102","0.7","348","2.3"
"Baraga","8,209","6,109","74.4","762","9.3","1,278","15.6","60","0.7","150","1.8"
"Barry","62,992","61,192","97.1","818","1.3","551","0.9","431","0.7","2,193","3.5"
"Bay","102,986","98,406","95.6","2,906","2.8","899","0.9","775","0.8","6,018","5.8"
"Benzie","18,223","17,442","95.7","270","1.5","351","1.9","160","0.9","458","2.5"
"Berrien","153,102","123,949","81.0","23,989","15.7","1,324","0.9","3,840","2.5","9,313","6.1"
"Branch","44,975","42,836","95.2","1,327","3.0","366","0.8","446","1.0","2,601","5.8"
"Calhoun","133,819","110,796","82.8","17,370","13.0","1,431","1.1","4,222","3.2","7,706","5.8"
"Cass","51,483","46,722","90.8","3,371","6.5","856","1.7","534","1.0","2,244","4.4"
"Charlevoix","26,079","24,988","95.8","274","1.1","565","2.2","252","1.0","649","2.5"
"Cheboygan","25,761","24,175","93.8","361","1.4","1,039","4.0","186","0.7","449","1.7"
"Chippewa","36,824","26,691","72.5","2,764","7.5","6,958","18.9","411","1.1","801","2.2"
"Clare","31,058","30,095","96.9","409","1.3","398","1.3","156","0.5","762","2.5"
"Clinton","79,426","75,079","94.5","2,247","2.8","576","0.7","1,524","1.9","3,914","4.9"
"Crawford","13,187","12,648","95.9","215","1.6","175","1.3","149","1.1","296","2.2"
"Delta","36,830","34,878","94.7","389","1.1","1,300","3.5","263","0.7","568","1.5"
"Dickinson","25,788","24,871","96.4","263","1.0","373","1.4","281","1.1","472","1.8"
"Eaton","108,945","96,116","88.2","8,938","8.2","851","0.8","3,040","2.8","6,461","5.9"
