County,FIPS,Percent
"Michigan",26000,86
"Oakland County",26125,92
"Washtenaw County",26161,92
"Livingston County",26093,91
"Leelanau County",26089,90
"Macomb County",26099,90
"Ottawa County",26139,90
"Grand Traverse County",26055,89
"Kalamazoo County",26077,89
"Kent County",26081,89
"Benzie County",26019,88
"Clinton County",26037,88
"Crawford County",26039,88
"Eaton County",26045,88
"Allegan County",26005,87
"Emmet County",26047,87
"Ingham County",26065,87
"Jackson County",26075,87
"Midland County",26111,87
"Otsego County",26137,87
"St. Clair County",26147,87
"Bay County",26017,86
"Lapeer County",26087,86
"Van Buren County",26159,86
"Calhoun County",26025,85
"Cass County",26027,85
"Charlevoix County",26029,85
"Lenawee County",26091,85
"Monroe County",26115,85
"Antrim County",26009,84
"Genesee County",26049,84
"Ionia County",26067,84
"Roscommon County",26143,84
"Saginaw County",26145,84
"Shiawassee County",26155,84
"Chippewa County",26033,83
"Dickinson County",26043,83
"Houghton County",26061,83
"Marquette County",26103,83
"Muskegon County",26121,83
"Schoolcraft County",26153,83
"St. Joseph County",26149,83
"Wayne County",26163,83
"Barry County",26015,82
"Branch County",26023,82
"Cheboygan County",26031,82
"Iosco County",26069,82
"Manistee County",26101,82
"Missaukee County",26113,82
"Wexford County",26165,82
"Alpena County",26007,81
"Delta County",26041,81
"Gratiot County",26057,81
"Kalkaska County",26079,81
"Mackinac County",26097,81
"Ogemaw County",26129,81
"Alger County",26003,80
"Berrien County",26021,80
"Gladwin County",26051,80
"Hillsdale County",26059,80
"Isabella County",26073,80
"Mason County",26105,80
"Montcalm County",26117,80
"Ontonagon County",26131,80
"Arenac County",26011,79
"Mecosta County",26107,79
"Menominee County",26109,79
"Newaygo County",26123,79
"Osceola County",26133,79
"Presque Isle County",26141,79
"Sanilac County",26151,79
"Alcona County",26001,78
"Keweenaw County",26083,78
"Luce County",26095,78
"Baraga County",26013,77
"Clare County",26035,77
"Gogebic County",26053,77
"Huron County",26063,77
"Montmorency County",26119,77
"Oceana County",26127,77
"Tuscola County",26157,77
"Iron County",26071,74
"Lake County",26085,72
"Oscoda County",26135,72
