datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
0,2011,48009,20037.0,18531.0,753.0,10033.0,437.0,809.0,786.0,0.0,100473.0,1056.0,342600.0,Oakland,136100.56080092824,1430.455865812509,464085.3973743993
1,2012,48009,20153.0,18622.0,663.0,10031.0,489.0,797.0,767.0,0.0,100789.0,993.0,339600.0,Oakland,133760.50714739933,1317.844046447207,450694.70108103874
2,2013,48009,20241.0,18620.0,765.0,10138.0,553.0,704.0,669.0,0.0,98750.0,1070.0,347400.0,Oakland,129162.5600432698,1399.5335619878347,454390.6162939942
3,2014,48009,20382.0,18775.0,722.0,10510.0,467.0,654.0,582.0,16.0,107161.0,1124.0,371100.0,Oakland,137926.5131707894,1446.6961002973778,477641.3904095702
4,2015,48009,20489.0,18864.0,587.0,10669.0,407.0,827.0,730.0,37.0,108135.0,1121.0,410700.0,Oakland,139015.1371842526,1441.124231595202,527983.6948404545
5,2016,48009,20653.0,18787.0,656.0,10919.0,411.0,756.0,612.0,76.0,112545.0,1166.0,439000.0,Oakland,142882.0267325536,1480.3007078960197,557334.4860774894
6,2017,48009,20836.0,19063.0,580.0,10795.0,393.0,914.0,726.0,92.0,114537.0,1223.0,467700.0,Oakland,142377.82708061358,1520.278010770235,581385.1395234987
7,2018,48009,21066.0,19277.0,586.0,10751.0,296.0,1101.0,852.0,142.0,117670.0,1307.0,488700.0,Oakland,142784.88588529988,1585.9594276543467,593005.64062332
8,2019,48009,21201.0,19096.0,712.0,10990.0,271.0,1118.0,899.0,114.0,122804.0,1371.0,541500.0,Oakland,146362.60461477682,1634.0113589692437,645380.8540348983
9,2020,48009,21277.0,19011.0,688.0,10729.0,362.0,1001.0,790.0,114.0,126646.0,1498.0,538500.0,Oakland,149102.20003013784,1763.6174505720394,633983.9767243279
10,2011,48017,11932.0,11183.0,206.0,6418.0,789.0,730.0,665.0,8.0,51473.0,710.0,152700.0,Oakland,69725.24126985538,961.7648340216682,206847.1692325475
11,2012,48017,11885.0,11027.0,124.0,6147.0,869.0,977.0,901.0,0.0,51858.0,715.0,135800.0,Oakland,68822.5141597777,948.9007988013624,180224.79507304198
12,2013,48017,11913.0,11101.0,80.0,6244.0,825.0,889.0,754.0,0.0,51868.0,709.0,126500.0,Oakland,67842.06242353738,927.3544817283877,165458.87438454307
13,2014,48017,11943.0,11012.0,127.0,6518.0,692.0,950.0,804.0,0.0,54021.0,713.0,122900.0,Oakland,69530.22245032442,917.6995725196,158184.1198634766
