datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty,Lat,Lon
920,2011,48809,11307.0,10592.0,29.0,4849.0,708.0,2282.0,1841.0,3.0,Kent,64912.353304673714,675.9445805307217,157404.3291736871,0.2564782877863271,93.67648359423366,6.261607853542054,0.026532236667551,16.281949234987174,20.182188025117185,43.084921443,-85.258106657
921,2012,48809,11041.0,10609.0,35.0,4713.0,828.0,2179.0,1943.0,3.0,Kent,63348.08647438522,597.2102929519064,136562.08698833594,0.3170002717145186,96.0873109319808,7.49932071370347,0.0271714518612444,17.59804365546599,19.735531201883887,43.084921443,-85.258106657
922,2013,48809,10848.0,10248.0,41.0,4553.0,716.0,2249.0,1985.0,2.0,Kent,58248.063659817046,618.6723129161176,126873.60328300932,0.3779498525073746,94.46902654867256,6.600294985250738,0.0184365781710914,18.29830383480826,20.73193215339233,43.084921443,-85.258106657
923,2014,48809,10715.0,10104.0,60.0,4595.0,605.0,1958.0,1711.0,4.0,Kent,58730.19844890511,657.7061452419573,120858.33079886455,0.5599626691553896,94.29771348576762,5.646290247316846,0.0373308446103593,15.968268782081193,18.27344843677088,43.084921443,-85.258106657
924,2015,48809,10690.0,9996.0,20.0,4784.0,613.0,1998.0,1884.0,3.0,Kent,58992.24686836809,631.2149845791653,121100.71598239789,0.187090739008419,93.50795135640786,5.734331150608045,0.0280636108512628,17.623947614593078,18.690364826941067,43.084921443,-85.258106657
925,2016,48809,10861.0,10260.0,20.0,4721.0,483.0,1899.0,1772.0,1.0,Kent,57545.103076160274,643.6642014607907,124416.35452299308,0.1841451063437989,94.46643955436885,4.447104318202744,0.0092072553171899,16.315256422060585,17.484577847343708,43.084921443,-85.258106657
926,2017,48809,10690.0,10298.0,43.0,4897.0,377.0,1616.0,1571.0,21.0,Kent,58588.50629895562,645.1547731723238,128285.11096605744,0.402245088868101,96.333021515435,3.5266604303087,0.19644527595884,14.69597754911132,15.116931711880262,43.084921443,-85.258106657
927,2018,48809,10789.0,10393.0,21.0,5074.0,280.0,1406.0,1367.0,1.0,Kent,61907.022249479305,660.1085911583508,136511.42739947513,0.1946426916303642,96.3295949578274,2.595235888404857,0.0092686996014459,12.670312355176568,13.031791639632958,43.084921443,-85.258106657
928,2019,48809,10728.0,10286.0,4.0,4962.0,312.0,1513.0,1408.0,0.0,Kent,62681.20013924907,649.5522907645791,143735.79131414357,0.0372856077554064,95.8799403430276,2.9082774049217,0.0,13.124533929903055,14.103281133482476,43.084921443,-85.258106657
929,2020,48809,11090.0,10600.0,4.0,5396.0,279.0,1169.0,1057.0,0.0,Kent,67431.87790318031,746.4175324850953,161409.84811310188,0.036068530207394,95.58160504959424,2.515779981965735,0.0,9.531109107303877,10.54102795311091,43.084921443,-85.258106657
940,2011,48838,17870.0,17116.0,50.0,7050.0,1052.0,3911.0,3747.0,7.0,Kent,53639.38577125354,708.4549411173697,156727.0299947986,0.2797985450475657,95.78063794068272,5.886961387800784,0.0391717963066592,20.968102965864578,21.885842193620597,43.181899636,-85.273068863
941,2012,48838,17774.0,17055.0,15.0,6988.0,1025.0,3874.0,3734.0,6.0,Kent,52403.21250555328,703.381011698912,146117.45167556644,0.0843929334983684,95.95476538764488,5.7668504557218405,0.0337571733993473,21.00821424552717,21.79588162484528,43.181899636,-85.273068863
942,2013,48838,17928.0,17197.0,16.0,6710.0,912.0,3751.0,3536.0,16.0,Kent,53275.14160123972,720.694385659156,141522.92654867636,0.0892458723784025,95.92257920571171,5.087014725568943,0.0892458723784025,19.723337795626957,20.92257920571173,43.181899636,-85.273068863
