datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty
980,2011,49303,1002.0,973.0,0.0,478.0,121.0,145.0,138.0,0.0,Muskegon,76196.1576249561,755.8658836395645,181922.55944945075,0.0,97.1057884231537,12.075848303393213,0.0,13.77245508982036,14.471057884231536
981,2012,49303,1055.0,1037.0,0.0,478.0,113.0,133.0,127.0,0.0,Muskegon,76679.1473470561,696.7453417772241,159654.21831580964,0.0,98.29383886255924,10.710900473933648,0.0,12.037914691943127,12.606635071090047
982,2013,49303,1109.0,1083.0,0.0,479.0,128.0,134.0,120.0,0.0,Muskegon,68055.26239606451,685.3790527865658,147932.0054774057,0.0,97.65554553651938,11.541929666366094,0.0,10.820559062218214,12.082957619477007
983,2014,49303,1027.0,993.0,0.0,486.0,79.0,64.0,43.0,0.0,Muskegon,64416.58934847257,727.2093386726143,145055.7388821303,0.0,96.68938656280429,7.6923076923076925,0.0,4.186952288218111,6.2317429406037
984,2015,49303,1025.0,996.0,0.0,481.0,55.0,82.0,65.0,0.0,Muskegon,57391.7119278364,722.4904711476393,139741.4843661003,0.0,97.17073170731707,5.365853658536586,0.0,6.341463414634147,8.0
985,2016,49303,1114.0,1095.0,0.0,516.0,43.0,87.0,68.0,0.0,Muskegon,57508.28599165858,724.9156982921331,145364.00604982354,0.0,98.29443447037703,3.859964093357271,0.0,6.104129263913824,7.809694793536805
986,2017,49303,1082.0,1053.0,0.0,472.0,44.0,76.0,53.0,0.0,Muskegon,61118.15940763708,1274.1496001958224,144693.67167101827,0.0,97.31977818853974,4.066543438077634,0.0,4.898336414048059,7.024029574861368
987,2018,49303,1009.0,988.0,0.0,490.0,26.0,77.0,61.0,0.0,Muskegon,59074.86516903152,671.0295053503089,140758.44958523658,0.0,97.9187314172448,2.576808721506442,0.0,6.045589692765114,7.631318136769079
988,2019,49303,1019.0,984.0,28.0,513.0,5.0,148.0,120.0,28.0,Muskegon,71758.24646303445,648.360451698956,160898.27385911593,2.747791952894995,96.56526005888125,0.49067713444553485,2.747791952894995,11.776251226692837,14.524043179587832
989,2020,49303,937.0,892.0,22.0,443.0,5.0,102.0,80.0,22.0,Muskegon,73528.01352338193,627.5087457642836,143043.7384809765,2.3479188900747063,95.1974386339381,0.5336179295624333,2.3479188900747063,8.537886872998932,10.88580576307364
1020,2011,49318,1464.0,1382.0,29.0,696.0,110.0,203.0,173.0,24.0,Muskegon,68365.22451864729,815.4682113817523,173253.12995967796,1.9808743169398908,94.39890710382514,7.5136612021857925,1.639344262295082,11.816939890710383,13.866120218579233
1021,2012,49318,1523.0,1441.0,23.0,709.0,104.0,193.0,163.0,23.0,Muskegon,68015.61669730046,810.8788644302551,160317.78530797845,1.510177281680893,94.61588969139856,6.828627708470125,1.510177281680893,10.702560735390676,12.672357189757058
1022,2013,49318,1572.0,1486.0,23.0,703.0,114.0,202.0,168.0,23.0,Muskegon,64581.2800216349,694.5348798276076,144662.06724846218,1.4631043256997456,94.529262086514,7.251908396946565,1.4631043256997456,10.687022900763358,12.849872773536896
1023,2014,49318,1566.0,1498.0,23.0,732.0,123.0,167.0,144.0,23.0,Muskegon,69684.67399128144,675.7254916869424,140550.90227088402,1.4687100893997445,95.65772669220945,7.854406130268199,1.4687100893997445,9.195402298850574,10.664112388250318
1024,2015,49318,1544.0,1389.0,116.0,634.0,82.0,261.0,145.0,116.0,Muskegon,67492.4372513364,578.5066050114549,160439.16512317682,7.512953367875648,89.96113989637306,5.310880829015544,7.512953367875648,9.39119170984456,16.904145077720205
1025,2016,49318,1485.0,1402.0,58.0,676.0,53.0,191.0,133.0,58.0,Muskegon,62420.19288604082,628.429545804914,153362.2002691588,3.9057239057239053,94.41077441077441,3.5690235690235688,3.9057239057239053,8.956228956228957,12.86195286195286
1026,2017,49318,1607.0,1499.0,85.0,701.0,90.0,243.0,158.0,85.0,Muskegon,63319.64130221932,637.6963364882506,154265.33208224544,5.289359054138146,93.27940261356565,5.600497822028625,5.289359054138146,9.831985065339142,15.121344119477287
1027,2018,49318,1573.0,1493.0,57.0,706.0,59.0,200.0,143.0,57.0,Muskegon,63256.36186964123,697.725073375095,177282.84038278504,3.6236490781945325,94.91417673235854,3.750794659885569,3.6236490781945325,9.090909090909092,12.714558169103624
1028,2019,49318,1515.0,1464.0,29.0,693.0,35.0,123.0,94.0,29.0,Muskegon,62507.1916356681,630.4828657146098,187714.65283563524,1.914191419141914,96.63366336633663,2.31023102310231,1.914191419141914,6.204620462046204,8.118811881188119
1029,2020,49318,1309.0,1249.0,51.0,605.0,17.0,132.0,81.0,51.0,Muskegon,61358.11126265886,645.1684665644042,194139.19732932525,3.896103896103896,95.41634835752483,1.2987012987012987,3.896103896103896,6.187929717341483,10.084033613445378
1120,2011,49415,6462.0,6191.0,66.0,3051.0,395.0,459.0,433.0,0.0,Muskegon,75395.5899955099,711.1641378329235,207524.468411436,1.021355617455896,95.80625193438564,6.112658619622408,0.0,6.700711853915196,7.103064066852367
1121,2012,49415,6530.0,6270.0,71.0,3079.0,379.0,455.0,420.0,8.0,Muskegon,70880.89896948526,727.2694234169883,198671.9574553342,1.0872894333843797,96.01837672281776,5.803981623277182,0.1225114854517611,6.431852986217458,6.967840735068913
