datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty,Lat,Lon
0,2011,48009,20037.0,18531.0,753.0,10033.0,437.0,809.0,786.0,0.0,Oakland,136100.56080092824,1430.455865812509,464085.3973743993,3.7580476119179513,92.4839047761641,2.180965214353446,0.0,3.9227429255876634,4.03753056844837,42.542080466,-83.207647833
1,2012,48009,20153.0,18622.0,663.0,10031.0,489.0,797.0,767.0,0.0,Oakland,133760.50714739933,1317.844046447207,450694.70108103874,3.289832779238823,92.40311616136556,2.426437751203294,0.0,3.805884979903736,3.954746191634,42.542080466,-83.207647833
2,2013,48009,20241.0,18620.0,765.0,10138.0,553.0,704.0,669.0,0.0,Oakland,129162.5600432698,1399.533561987835,454390.6162939942,3.7794575366829695,91.99150239612668,2.7320784546218078,0.0,3.305172669334519,3.4780890272219747,42.542080466,-83.207647833
3,2014,48009,20382.0,18775.0,722.0,10510.0,467.0,654.0,582.0,16.0,Oakland,137926.5131707894,1446.6961002973778,477641.3904095702,3.542341281522912,92.11559218918651,2.291237366303601,0.0785006378176822,2.8554607006181927,3.208713570797763,42.542080466,-83.207647833
4,2015,48009,20489.0,18864.0,587.0,10669.0,407.0,827.0,730.0,37.0,Oakland,139015.1371842526,1441.124231595202,527983.6948404545,2.864951925423398,92.06891502757576,1.9864317438625605,0.1805847039875054,3.5628874029967297,4.036312167504515,42.542080466,-83.207647833
5,2016,48009,20653.0,18787.0,656.0,10919.0,411.0,756.0,612.0,76.0,Oakland,142882.0267325536,1480.3007078960195,557334.4860774894,3.176294000871544,90.9649929792282,1.9900256621314096,0.3679852805887764,2.9632498910569893,3.660485159540986,42.542080466,-83.207647833
6,2017,48009,20836.0,19063.0,580.0,10795.0,393.0,914.0,726.0,92.0,Oakland,142377.82708061358,1520.278010770235,581385.1395234987,2.7836436936072184,91.49068919178345,1.8861585717028224,0.4415434824342484,3.484354002687656,4.386638510270685,42.542080466,-83.207647833
7,2018,48009,21066.0,19277.0,586.0,10751.0,296.0,1101.0,852.0,142.0,Oakland,142784.88588529988,1585.9594276543469,593005.64062332,2.7817335991645304,91.5076426469192,1.405107756574575,0.6740719643026678,4.044431785816007,5.226431216177727,42.542080466,-83.207647833
8,2019,48009,21201.0,19096.0,712.0,10990.0,271.0,1118.0,899.0,114.0,Oakland,146362.60461477682,1634.0113589692437,645380.8540348983,3.358332154143673,90.07122305551624,1.278241592377718,0.5377104853544644,4.2403660204707325,5.273336163388519,42.542080466,-83.207647833
9,2020,48009,21277.0,19011.0,688.0,10729.0,362.0,1001.0,790.0,114.0,Oakland,149102.20003013784,1763.6174505720394,633983.9767243279,3.233538562767308,89.35000234995535,1.7013676740141936,0.5357898199934201,3.712929454340368,4.704610612398365,42.542080466,-83.207647833
